A 1298
B 189
C 1090
D 1323
E 1144
F 346
G 318
H 123
I 287
J 173
K 6
L 360
M 790
N 717
O 874
P 990
Q 1026
R 513
S 648
T 567
U 142
V 354
W 14
X 6
Y 28
Z 6
a 30790
b 2478
c 6582
d 11523
e 32262
f 3095
g 3691
h 2980
i 13355
j 938
k 128
l 6225
m 10495
n 13753
o 27724
p 5013
q 3100
r 17495
s 20780
t 12878
u 10997
v 4017
w 254
x 390
y 304
z 918
